dataset,seed,news_field,lag,regime_filter,is_true_signal,confirmed,score,p_value,n
S1,48,news_mentions,30,,False,False,-0.00023585332758381276,0.8287837799797386,81
S1,48,news_mentions,60,,False,False,0.0014982550252365411,0.2363369883844797,81
S1,48,news_mentions,90,,False,False,0.0007664538846197031,0.42433072116277026,77
S1,49,news_mentions,1,,False,False,-0.0006371816407640959,0.6123214267599295,62
S1,49,news_mentions,7,,False,False,0.0002446691053279145,0.8519980793931037,61
S1,49,news_mentions,14,,False,False,-0.001684914834252472,0.23616740589414875,61
S1,49,news_mentions,30,,False,False,-1.7163071788573045e-06,0.9990383578522137,61
S1,49,news_mentions,60,,False,False,-0.0014956085702300284,0.16709389886369075,58
S1,49,news_mentions,90,,False,False,-0.0015285409945669638,0.25527939754795526,56
S1,50,news_mentions,1,,False,False,-0.00043704341206730847,0.6737974538838183,74
S1,50,news_mentions,7,,False,False,-0.001262439787931571,0.258573590121721,73
S1,50,news_mentions,14,,False,False,-0.00020272781411741572,0.8554518864242113,73
S1,50,news_mentions,30,,False,False,0.0006294909911002704,0.5456481625829399,72
S1,50,news_mentions,60,,False,False,0.0016092716907625708,0.10030894319939665,69
S1,50,news_mentions,90,,False,True,0.0028635001315354346,0.009865121980371816,69
S1,51,news_mentions,1,,False,False,9.045555191861078e-06,0.9931771125432001,85
S1,51,news_mentions,7,,False,False,-0.0008316388732137252,0.4746975594931311,85
S1,51,news_mentions,14,,False,False,0.0008965918339945341,0.32849766133042024,85
S1,51,news_mentions,30,,False,False,0.0011815804685074292,0.2401065902555799,84
S1,51,news_mentions,60,,False,False,-0.000435791740921723,0.642375358994471,82
S1,51,news_mentions,90,,False,False,0.00032158074390555344,0.7648549789555379,80
S1,52,news_mentions,1,,False,False,0.0003743633791925601,0.7412295024905431,75
S1,52,news_mentions,7,,False,False,0.0028427737468482432,0.02587294413394381,75
S1,52,news_mentions,14,,False,False,-0.0007117187277957833,0.5231809005091965,75
S1,52,news_mentions,30,,False,False,0.0007303282565151886,0.48403235403581046,73
S1,52,news_mentions,60,,False,False,-0.0012816692361665649,0.1432157662541309,69
S1,52,news_mentions,90,,False,False,0.0003197001653389844,0.8005466515901714,66
S1,53,news_mentions,1,,False,False,-0.000659759315263199,0.4892481059413183,80
S1,53,news_mentions,7,,False,False,0.0010170890779223536,0.32083636469939547,80
S1,53,news_mentions,14,,False,False,-0.0022720118044241167,0.021439365928967336,80
S1,53,news_mentions,30,,False,False,-8.331432005497481e-05,0.9410317424376369,78
S1,53,news_mentions,60,,False,False,8.487891085373901e-05,0.9444946078346175,75
S1,53,news_mentions,90,,False,True,-0.003689430939010297,0.002260709581035414,72
S1,54,news_mentions,1,,False,False,-0.00048243011764851045,0.6619719566022482,81
S1,54,news_mentions,7,,False,False,-0.00019565942197314405,0.8482843994689513,81
S1,54,news_mentions,14,,False,False,-0.001003268856502882,0.28314437162856443,80
S1,54,news_mentions,30,,False,False,0.0005337851325879193,0.6149654273707608,78
S1,54,news_mentions,60,,False,False,-0.0012066672276735198,0.2258849466324937,75
S1,54,news_mentions,90,,False,False,-0.00021112266454417845,0.8587765632145818,74
S1,55,news_mentions,1,,False,False,-0.00181394597682967,0.058606959601556596,79
S1,55,news_mentions,7,,False,False,-0.0012909282021956806,0.16437424641632647,78
S1,55,news_mentions,14,,False,False,-0.00012818066230218207,0.9008735173260365,77
S1,55,news_mentions,30,,False,False,0.00021075652111510968,0.8499921698772224,76
S1,55,news_mentions,60,,False,False,-0.0016264241708432638,0.0932686976707906,73
S1,55,news_mentions,90,,False,False,0.00031445013809740295,0.8010562883917616,70
S1,56,news_mentions,1,,False,False,-0.00046844610173423016,0.689361441450308,72
S1,56,news_mentions,7,,False,False,0.0020572134595766966,0.10345426002739311,71
S1,56,news_mentions,14,,False,False,0.0005729946304973788,0.6022564481061861,71
S1,56,news_mentions,30,,False,False,-0.002273671799358438,0.023946482639311872,68
S1,56,news_mentions,60,,False,False,0.0002451831323812439,0.8439970886297228,67
S1,56,news_mentions,90,,False,False,0.0007750126195417331,0.5799246528765125,66
S1,57,news_mentions,1,,False,False,2.200315127459879e-06,0.9985629253203694,67
S1,57,news_mentions,7,,False,False,0.0003112314920248026,0.7963850265954202,67
S1,57,news_mentions,14,,False,False,0.0008259955575679481,0.3763179936393162,67
S1,57,news_mentions,30,,False,False,0.0012033522009329972,0.3407002398149863,65
S1,57,news_mentions,60,,False,False,-0.0003738920435344472,0.789318604183785,64
S1,57,news_mentions,90,,False,False,0.002154192890010262,0.12594843447504145,62
S1,58,news_mentions,1,,False,False,-0.00014916775390020967,0.9021010343812317,66
S1,58,news_mentions,7,,False,False,-0.0019798202844411306,0.11745649059223418,66
S1,58,news_mentions,14,,False,False,0.00021329316373603095,0.8859165701869642,66
S1,58,news_mentions,30,,False,False,-0.00031543012614611087,0.8057671024584712,66
