rank,label,methods,k,n_methods,rule,avg_fpr,avg_tpr,max_fpr_S1S2S6,pre_penalty,post_penalty,triggered_post,loss
14,M3+M4+M6/AND,"M3_granger_hac,M4_event_study_hac,M6_lgbm_walkforward",3,3,AND,0.0033,0.97,0.01,0.0,0.0,,0.1833
15,M2+M4+M6/MAJ_2of3,"M2_corr_returns_hac,M4_event_study_hac,M6_lgbm_walkforward",2,3,MAJ_2of3,0.005,0.97,0.0133,0.0,0.0,,0.185
16,M3+M6/OR,"M3_granger_hac,M6_lgbm_walkforward",1,2,OR,0.0928,1.0,0.195,0.0,1.0,M009,0.1928
17,M4+M6/OR,"M4_event_study_hac,M6_lgbm_walkforward",1,2,OR,0.0978,0.9983,0.17,0.0,1.0,M009,0.1994
18,M2+M4+M5+M6/MAJ_2of4,"M2_corr_returns_hac,M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",2,4,MAJ_2of4,0.0061,0.9983,0.0133,0.0,0.0,,0.2078
19,M2+M5+M6/OR,"M2_corr_returns_hac,M5_var_orth_irf,M6_lgbm_walkforward",1,3,OR,0.0656,1.0,0.12,0.0,1.0,M009,0.2156
20,M2+M3+M5+M6/MAJ_2of4,"M2_corr_returns_hac,M3_granger_hac,M5_var_orth_irf,M6_lgbm_walkforward",2,4,MAJ_2of4,0.0222,1.0,0.0583,0.0,0.0,,0.2222
21,M3+M4+M5+M6/AND,"M3_granger_hac,M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",4,4,AND,0.0,0.97,0.0,0.0,0.0,,0.23
22,M3+M4+M5+M6/MAJ_2of4,"M3_granger_hac,M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",2,4,MAJ_2of4,0.0311,1.0,0.08,0.0,0.0,,0.2311
23,M2+M3+M4+M6/MAJ_2of4,"M2_corr_returns_hac,M3_granger_hac,M4_event_study_hac,M6_lgbm_walkforward",2,4,MAJ_2of4,0.0294,0.9983,0.08,0.0,0.0,,0.2311
24,M2+M3+M6/OR,"M2_corr_returns_hac,M3_granger_hac,M6_lgbm_walkforward",1,3,OR,0.0928,1.0,0.195,0.0,1.0,M009,0.2428
25,M3+M5+M6/OR,"M3_granger_hac,M5_var_orth_irf,M6_lgbm_walkforward",1,3,OR,0.0944,1.0,0.1967,0.0,1.0,M009,0.2444
26,M2+M4+M6/OR,"M2_corr_returns_hac,M4_event_study_hac,M6_lgbm_walkforward",1,3,OR,0.0978,0.9983,0.17,0.0,1.0,M009,0.2494
27,M4+M5+M6/OR,"M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",1,3,OR,0.1,1.0,0.1717,0.0,1.0,M009,0.25
28,M2+M3+M4+M5+M6/MAJ_3of5,"M2_corr_returns_hac,M3_granger_hac,M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",3,5,MAJ_3of5,0.0039,0.9983,0.01,0.0,0.0,,0.2556
